search_term,video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
nintendo switch 2,/watch?v=tWIEv_aksvo&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@NintendoAmerica,Nintendo of America,Nintendo Direct 9.12.2025,5.3M views,Streamed 4 months ago,Join us on Sept 12 at 6am PT for a Nintendo Direct! Tune in for roughly 60 minutes of information on upcoming Nintendo Switch 2 ...,2026-01-22 06:42:30.244660
nintendo switch 2,/watch?v=YsvVacZhjks&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@SwitchTop,SwitchTop,TOP 30 BEST Nintendo Switch 2 Games,31K views,2 weeks ago,"TOP 30 BEST Nintendo Switch 2 Games The Nintendo Switch 2 is here and the games are incredible! In this video, I'm counting ...",2026-01-22 06:42:30.246158
nintendo switch 2,/watch?v=0QeqO0kFz-E&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@NintendoAmerica,Nintendo of America,Nintendo Switch 2 – Launch Trailer,1.1M views,7 months ago,The Nintendo Switch 2 system is available now! Learn more: ...,2026-01-22 06:42:30.247192
nintendo switch 2,/watch?v=bx7PUXvnPLE&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@RyansWorld,Ryan's World,Ryan Grew Up with Nintendo Switch… Now He’s Playing on Nintendo Switch 2!,2.1M views,6 months ago,NintendoPartner To learn more about Mario Kart World: ...,2026-01-22 06:42:30.248181
nintendo switch 2,/watch?v=PvsYm4vfM6Y&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@NintendoAmerica,Nintendo of America,Nintendo Switch Parental Controls – Nintendo Switch 2,1.5M views,9 months ago,"With Nintendo Switch Parental Controls, you can support a safe and fun environment for your child's gaming experience on ...",2026-01-22 06:42:30.249211
nintendo switch 2,/watch?v=GDCRFayvdWc&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@NillyMii,Nilly896,Nintendo Switch 2 - First Time Initial Setup,331K views,7 months ago,Attention: Lower your volumes at 10:13. This is the audio test portion to make sure I was capturing Linear PCM 5.1 Surround ...,2026-01-22 06:42:30.250560
nintendo switch 2,/watch?v=4Uwap6in5Rk&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@SpawnWave,Spawn Wave,A Nintendo Switch 2 Game Leaks Again And Steam's New Update Causes Backlash Online | News Wave,74K views,2 days ago,A Nintendo Switch game that leaked a while ago and then disappeared is back signaling a release soon. Steam got an update for ...,2026-01-22 06:42:30.252191
nintendo switch 2,/watch?v=pFyHue5qzLM&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@appletreegirlunboxing,apple tree girl unboxing,Nintendo Switch 2 aesthetic unboxing🍄 a lot of cute accessories  + Gameplay⋆˚✿˖° Mario Kart World,461K views,6 months ago,"Good evening everyone! In today's video, I'm unboxing the brand new Switch 2 along with some adorable and practical ...",2026-01-22 06:42:30.253410
nintendo switch 2,/watch?v=YeJvwSyf03E&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@SwitchTop,SwitchTop,TOP 20 NEW UPCOMING Nintendo Switch and Switch 2 in 2026,17K views,4 days ago,TOP 20 NEW UPCOMING Nintendo Switch and Switch 2 in 2026 2026 is shaping up to be MASSIVE for Nintendo! Whether you're ...,2026-01-22 06:42:30.254935
nintendo switch 2,/watch?v=QkJCMtIfFa4&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@switchrank,SwitchRank,TOP 15 BEST 10/10 Nintendo Switch & Switch 2 Games of 2025,46K views,3 weeks ago,"TOP 15 BEST 10/10 Nintendo Switch & Switch 2 Games of 2025 Hi switch lovers! In this video, we took a closer look at Nintendo ...",2026-01-22 06:42:30.256505
nintendo switch 2,/watch?v=jAYfLdXQCeA&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@RGT85,RGT 85,Something Weird Is Happening With Nintendo Switch 2....,54K views,4 days ago,Get The Art Of N64 Wrestling Games book here: https://amzn.to/3ZOYS7y Twitter: http://twitter.com/rgt_85 Facebook: ...,2026-01-22 06:42:38.785492
nintendo switch 2,/watch?v=i2NrNo5-qGI&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@switchrank,SwitchRank,TOP 10 BEST Nintendo Switch 2 Games You Must Play Before You Die,71K views,2 months ago,TOP 10 BEST Nintendo Switch 2 Games You Must Play Before You Die The Nintendo Switch 2 offers one of the most enjoyable ...,2026-01-22 06:42:38.786277
nintendo switch 2,/watch?v=NsZWuvHq1pg&pp=ygURbmludGVuZG8gc3dpdGNoIDI%3D,/@GameXplain,GameXplain,FF7 Remake Intergrade Looks GREAT on Switch 2 (PS5 VS Switch 2 Graphics Comparison),7.5K views,16 hours ago,Check out this side by side comparison of Final Fantasy 7 Remake Intergrade on PlayStation 5 VS Nintendo Switch 2. Mad Dash ...,2026-01-22 06:42:38.787203
nintendo switch 2,/watch?v=mdBSpFnqyAc&pp=ygURbmludGVuZG8gc3dpdGNoIDLSBwkJhwoBhyohjO8%3D,/@penguinz0,penguinz0,Nintendo Switch 2 Drama,2.6M views,7 months ago,Get our new soap https://usecheeky.com/#starter-pack-offer Get Goof Juice https://gamersupps.gg/?ref=moist Get a Starforge PC ...,2026-01-22 06:42:38.787935
